Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , Montana ,2001,10,27.89, Montana 200110
Total consumption , petroleum coke , Montana ,2001,9,27.9, Montana 20019
Total consumption , petroleum coke , Montana ,2001,8,22.66, Montana 20018
Total consumption , petroleum coke , Montana ,2001,7,18.36, Montana 20017
Total consumption , petroleum coke , Montana ,2001,6,19.86, Montana 20016
Total consumption , petroleum coke , Montana ,2001,5,21.99, Montana 20015
Total consumption , petroleum coke , Montana ,2001,4,21.56, Montana 20014
Total consumption , petroleum coke , Montana ,2001,3,20.83, Montana 20013
Total consumption , petroleum coke , Montana ,2001,2,20.05, Montana 20012
Total consumption , petroleum coke , Montana ,2001,1,24.61, Montana 20011
Total consumption , petroleum coke , Mountain (total) ,2017,7,23.225, Mountain (total) 20177
Total consumption , petroleum coke , Mountain (total) ,2017,6,22.123, Mountain (total) 20176
Total consumption , petroleum coke , Mountain (total) ,2017,5,22.985, Mountain (total) 20175
Total consumption , petroleum coke , Mountain (total) ,2017,4,22.158, Mountain (total) 20174
Total consumption , petroleum coke , Mountain (total) ,2017,3,23.148, Mountain (total) 20173
Total consumption , petroleum coke , Mountain (total) ,2017,2,21.088, Mountain (total) 20172
Total consumption , petroleum coke , Mountain (total) ,2017,1,24.24, Mountain (total) 20171
Total consumption , petroleum coke , Mountain (total) ,2016,12,25.175, Mountain (total) 201612
Total consumption , petroleum coke , Mountain (total) ,2016,11,24.57, Mountain (total) 201611
Total consumption , petroleum coke , Mountain (total) ,2016,10,26.438, Mountain (total) 201610
Total consumption , petroleum coke , Mountain (total) ,2016,9,23.255, Mountain (total) 20169
Total consumption , petroleum coke , Mountain (total) ,2016,8,24.216, Mountain (total) 20168
Total consumption , petroleum coke , Mountain (total) ,2016,7,23.998, Mountain (total) 20167
Total consumption , petroleum coke , Mountain (total) ,2016,6,20.551, Mountain (total) 20166
Total consumption , petroleum coke , Mountain (total) ,2016,5,14.664, Mountain (total) 20165
Total consumption , petroleum coke , Mountain (total) ,2016,4,16.585, Mountain (total) 20164
Total consumption , petroleum coke , Mountain (total) ,2016,3,25.037, Mountain (total) 20163
Total consumption , petroleum coke , Mountain (total) ,2016,2,23.627, Mountain (total) 20162
Total consumption , petroleum coke , Mountain (total) ,2016,1,24.976, Mountain (total) 20161
Total consumption , petroleum coke , Mountain (total) ,2015,12,25.095, Mountain (total) 201512
Total consumption , petroleum coke , Mountain (total) ,2015,11,24.28, Mountain (total) 201511
Total consumption , petroleum coke , Mountain (total) ,2015,10,24.192, Mountain (total) 201510
Total consumption , petroleum coke , Mountain (total) ,2015,9,23.488, Mountain (total) 20159
Total consumption , petroleum coke , Mountain (total) ,2015,8,25.14, Mountain (total) 20158
Total consumption , petroleum coke , Mountain (total) ,2015,7,24.361, Mountain (total) 20157
Total consumption , petroleum coke , Mountain (total) ,2015,6,23.89, Mountain (total) 20156
Total consumption , petroleum coke , Mountain (total) ,2015,5,25.253, Mountain (total) 20155
Total consumption , petroleum coke , Mountain (total) ,2015,4,24.407, Mountain (total) 20154
Total consumption , petroleum coke , Mountain (total) ,2015,3,23.017, Mountain (total) 20153
Total consumption , petroleum coke , Mountain (total) ,2015,2,22.878, Mountain (total) 20152
Total consumption , petroleum coke , Mountain (total) ,2015,1,25.536, Mountain (total) 20151
Total consumption , petroleum coke , Mountain (total) ,2014,12,25.399, Mountain (total) 201412
Total consumption , petroleum coke , Mountain (total) ,2014,11,24.402, Mountain (total) 201411
Total consumption , petroleum coke , Mountain (total) ,2014,10,23.75, Mountain (total) 201410
Total consumption , petroleum coke , Mountain (total) ,2014,9,23.88, Mountain (total) 20149
Total consumption , petroleum coke , Mountain (total) ,2014,8,24.637, Mountain (total) 20148
Total consumption , petroleum coke , Mountain (total) ,2014,7,11.69, Mountain (total) 20147
Total consumption , petroleum coke , Mountain (total) ,2014,6,0, Mountain (total) 20146
Total consumption , petroleum coke , Mountain (total) ,2014,5,21.038, Mountain (total) 20145
Total consumption , petroleum coke , Mountain (total) ,2014,4,24.114, Mountain (total) 20144
Total consumption , petroleum coke , Mountain (total) ,2014,3,22.225, Mountain (total) 20143
Total consumption , petroleum coke , Mountain (total) ,2014,2,18.148, Mountain (total) 20142
Total consumption , petroleum coke , Mountain (total) ,2014,1,22.261, Mountain (total) 20141
Total consumption , petroleum coke , Mountain (total) ,2013,12,24.74, Mountain (total) 201312
Total consumption , petroleum coke , Mountain (total) ,2013,11,22.287, Mountain (total) 201311
Total consumption , petroleum coke , Mountain (total) ,2013,10,24.68, Mountain (total) 201310
Total consumption , petroleum coke , Mountain (total) ,2013,9,21.163, Mountain (total) 20139
Total consumption , petroleum coke , Mountain (total) ,2013,8,21.163, Mountain (total) 20138
Total consumption , petroleum coke , Mountain (total) ,2013,7,22.95, Mountain (total) 20137
Total consumption , petroleum coke , Mountain (total) ,2013,6,12.566, Mountain (total) 20136
Total consumption , petroleum coke , Mountain (total) ,2013,5,21.136, Mountain (total) 20135
Total consumption , petroleum coke , Mountain (total) ,2013,4,24.597, Mountain (total) 20134
Total consumption , petroleum coke , Mountain (total) ,2013,3,24.95, Mountain (total) 20133
Total consumption , petroleum coke , Mountain (total) ,2013,2,20.106, Mountain (total) 20132
Total consumption , petroleum coke , Mountain (total) ,2013,1,24.241, Mountain (total) 20131
Total consumption , petroleum coke , Mountain (total) ,2012,12,24.193, Mountain (total) 201212
Total consumption , petroleum coke , Mountain (total) ,2012,11,23.394, Mountain (total) 201211
Total consumption , petroleum coke , Mountain (total) ,2012,10,23.982, Mountain (total) 201210
Total consumption , petroleum coke , Mountain (total) ,2012,9,23.589, Mountain (total) 20129
Total consumption , petroleum coke , Mountain (total) ,2012,8,23.66, Mountain (total) 20128
Total consumption , petroleum coke , Mountain (total) ,2012,7,19.183, Mountain (total) 20127
Total consumption , petroleum coke , Mountain (total) ,2012,6,8.903, Mountain (total) 20126
Total consumption , petroleum coke , Mountain (total) ,2012,5,24.911, Mountain (total) 20125
Total consumption , petroleum coke , Mountain (total) ,2012,4,24.041, Mountain (total) 20124
Total consumption , petroleum coke , Mountain (total) ,2012,3,25.258, Mountain (total) 20123
Total consumption , petroleum coke , Mountain (total) ,2012,2,23.677, Mountain (total) 20122
Total consumption , petroleum coke , Mountain (total) ,2012,1,24.016, Mountain (total) 20121
Total consumption , petroleum coke , Mountain (total) ,2011,12,25.457, Mountain (total) 201112
Total consumption , petroleum coke , Mountain (total) ,2011,11,22.89, Mountain (total) 201111
Total consumption , petroleum coke , Mountain (total) ,2011,10,13.66, Mountain (total) 201110
Total consumption , petroleum coke , Mountain (total) ,2011,9,22.965, Mountain (total) 20119
Total consumption , petroleum coke , Mountain (total) ,2011,8,23.902, Mountain (total) 20118
Total consumption , petroleum coke , Mountain (total) ,2011,7,23.519, Mountain (total) 20117
Total consumption , petroleum coke , Mountain (total) ,2011,6,22.823, Mountain (total) 20116
Total consumption , petroleum coke , Mountain (total) ,2011,5,24.698, Mountain (total) 20115
Total consumption , petroleum coke , Mountain (total) ,2011,4,23.722, Mountain (total) 20114
Total consumption , petroleum coke , Mountain (total) ,2011,3,24.882, Mountain (total) 20113
Total consumption , petroleum coke , Mountain (total) ,2011,2,22.51, Mountain (total) 20112
Total consumption , petroleum coke , Mountain (total) ,2011,1,12.95, Mountain (total) 20111
Total consumption , petroleum coke , Mountain (total) ,2010,12,23.206, Mountain (total) 201012
Total consumption , petroleum coke , Mountain (total) ,2010,11,24.604, Mountain (total) 201011
Total consumption , petroleum coke , Mountain (total) ,2010,10,18.501, Mountain (total) 201010
Total consumption , petroleum coke , Mountain (total) ,2010,9,0, Mountain (total) 20109
Total consumption , petroleum coke , Mountain (total) ,2010,8,4.297, Mountain (total) 20108
Total consumption , petroleum coke , Mountain (total) ,2010,7,23.119, Mountain (total) 20107
Total consumption , petroleum coke , Mountain (total) ,2010,6,17.623, Mountain (total) 20106
Total consumption , petroleum coke , Mountain (total) ,2010,5,24.306, Mountain (total) 20105
Total consumption , petroleum coke , Mountain (total) ,2010,4,22.307, Mountain (total) 20104
Total consumption , petroleum coke , Mountain (total) ,2010,3,24.616, Mountain (total) 20103
Total consumption , petroleum coke , Mountain (total) ,2010,2,22.126, Mountain (total) 20102
Total consumption , petroleum coke , Mountain (total) ,2010,1,22.815, Mountain (total) 20101
Total consumption , petroleum coke , Mountain (total) ,2009,12,22.769, Mountain (total) 200912
Total consumption , petroleum coke , Mountain (total) ,2009,11,22.739, Mountain (total) 200911
Total consumption , petroleum coke , Mountain (total) ,2009,10,19.353, Mountain (total) 200910
Total consumption , petroleum coke , Mountain (total) ,2009,9,22.265, Mountain (total) 20099
Total consumption , petroleum coke , Mountain (total) ,2009,8,22.183, Mountain (total) 20098
Total consumption , petroleum coke , Mountain (total) ,2009,7,21.055, Mountain (total) 20097
Total consumption , petroleum coke , Mountain (total) ,2009,6,22.779, Mountain (total) 20096
Total consumption , petroleum coke , Mountain (total) ,2009,5,24.644, Mountain (total) 20095
Total consumption , petroleum coke , Mountain (total) ,2009,4,22.287, Mountain (total) 20094
Total consumption , petroleum coke , Mountain (total) ,2009,3,23.726, Mountain (total) 20093
Total consumption , petroleum coke , Mountain (total) ,2009,2,21.394, Mountain (total) 20092
Total consumption , petroleum coke , Mountain (total) ,2009,1,24.449, Mountain (total) 20091
Total consumption , petroleum coke , Mountain (total) ,2008,12,23.489, Mountain (total) 200812
Total consumption , petroleum coke , Mountain (total) ,2008,11,23.195, Mountain (total) 200811
Total consumption , petroleum coke , Mountain (total) ,2008,10,23.42, Mountain (total) 200810
Total consumption , petroleum coke , Mountain (total) ,2008,9,15.316, Mountain (total) 20089
Total consumption , petroleum coke , Mountain (total) ,2008,8,0, Mountain (total) 20088
Total consumption , petroleum coke , Mountain (total) ,2008,7,9.298, Mountain (total) 20087
Total consumption , petroleum coke , Mountain (total) ,2008,6,22.484, Mountain (total) 20086
Total consumption , petroleum coke , Mountain (total) ,2008,5,23.341, Mountain (total) 20085
Total consumption , petroleum coke , Mountain (total) ,2008,4,23.12, Mountain (total) 20084
Total consumption , petroleum coke , Mountain (total) ,2008,3,23.884, Mountain (total) 20083
Total consumption , petroleum coke , Mountain (total) ,2008,2,23.884, Mountain (total) 20082
Total consumption , petroleum coke , Mountain (total) ,2008,1,21.379, Mountain (total) 20081
Total consumption , petroleum coke , Mountain (total) ,2007,12,22.696, Mountain (total) 200712
Total consumption , petroleum coke , Mountain (total) ,2007,11,21.54, Mountain (total) 200711
Total consumption , petroleum coke , Mountain (total) ,2007,10,22.116, Mountain (total) 200710
Total consumption , petroleum coke , Mountain (total) ,2007,9,22.149, Mountain (total) 20079
Total consumption , petroleum coke , Mountain (total) ,2007,8,13.57, Mountain (total) 20078
Total consumption , petroleum coke , Mountain (total) ,2007,7,14.825, Mountain (total) 20077
Total consumption , petroleum coke , Mountain (total) ,2007,6,20.348, Mountain (total) 20076
Total consumption , petroleum coke , Mountain (total) ,2007,5,22.906, Mountain (total) 20075
Total consumption , petroleum coke , Mountain (total) ,2007,4,20.984, Mountain (total) 20074
Total consumption , petroleum coke , Mountain (total) ,2007,3,22.92, Mountain (total) 20073
Total consumption , petroleum coke , Mountain (total) ,2007,2,21.276, Mountain (total) 20072
Total consumption , petroleum coke , Mountain (total) ,2007,1,23.385, Mountain (total) 20071
Total consumption , petroleum coke , Mountain (total) ,2006,12,23.507, Mountain (total) 200612
Total consumption , petroleum coke , Mountain (total) ,2006,11,21.925, Mountain (total) 200611
Total consumption , petroleum coke , Mountain (total) ,2006,10,21.545, Mountain (total) 200610
Total consumption , petroleum coke , Mountain (total) ,2006,9,21.292, Mountain (total) 20069
Total consumption , petroleum coke , Mountain (total) ,2006,8,12.323, Mountain (total) 20068
Total consumption , petroleum coke , Mountain (total) ,2006,7,20.263, Mountain (total) 20067
Total consumption , petroleum coke , Mountain (total) ,2006,6,21.05, Mountain (total) 20066
Total consumption , petroleum coke , Mountain (total) ,2006,5,20.21, Mountain (total) 20065
Total consumption , petroleum coke , Mountain (total) ,2006,4,22.548, Mountain (total) 20064
Total consumption , petroleum coke , Mountain (total) ,2006,3,23.099, Mountain (total) 20063
Total consumption , petroleum coke , Mountain (total) ,2006,2,23.989, Mountain (total) 20062
Total consumption , petroleum coke , Mountain (total) ,2006,1,23.967, Mountain (total) 20061
Total consumption , petroleum coke , Mountain (total) ,2005,12,24.223, Mountain (total) 200512
Total consumption , petroleum coke , Mountain (total) ,2005,11,23.091, Mountain (total) 200511
Total consumption , petroleum coke , Mountain (total) ,2005,10,23.433, Mountain (total) 200510
Total consumption , petroleum coke , Mountain (total) ,2005,9,20.738, Mountain (total) 20059
Total consumption , petroleum coke , Mountain (total) ,2005,8,12.011, Mountain (total) 20058
Total consumption , petroleum coke , Mountain (total) ,2005,7,17.53, Mountain (total) 20057
Total consumption , petroleum coke , Mountain (total) ,2005,6,20.181, Mountain (total) 20056
Total consumption , petroleum coke , Mountain (total) ,2005,5,20.048, Mountain (total) 20055
Total consumption , petroleum coke , Mountain (total) ,2005,4,20.474, Mountain (total) 20054
Total consumption , petroleum coke , Mountain (total) ,2005,3,24.177, Mountain (total) 20053
Total consumption , petroleum coke , Mountain (total) ,2005,2,21.636, Mountain (total) 20052
Total consumption , petroleum coke , Mountain (total) ,2005,1,24.052, Mountain (total) 20051
